epoch;acc;loss;val_acc;val_loss
0;0.8887499999682108;0.3756917609810829;0.9631;0.1233948337763548
1;0.9639833333333333;0.11868496752580007;0.9747;0.07944624623060226
2;0.97705;0.07588164862195651;0.9815;0.057123983440548184
3;0.9826833333333334;0.05691321940024694;0.986;0.04511557278633117
4;0.9859166666666667;0.045464879147460065;0.9879;0.03900782363121398
5;0.9881666666666666;0.03745041780049602;0.9863;0.042137015515193346
6;0.9894333333015441;0.033155120033522445;0.9875;0.03499356298083439
7;0.9913499999682108;0.02764643176496029;0.9878;0.03540382927274331
8;0.9925;0.024330594815065464;0.9889;0.03343102301240433
9;0.9930166666666667;0.02145746302610884;0.9889;0.03320761635100935
10;0.9935333333015441;0.019314800517633558;0.9879;0.03823121753283485
11;0.9945833333333334;0.016703640715405345;0.9894;0.03273959855039939
12;0.9950499999682109;0.014560044555117687;0.9902;0.03384011767377378
13;0.9957666666666667;0.012953561302398641;0.9895;0.031102323956252075
14;0.9961166666666667;0.011944875652529299;0.99;0.03417556382997136
15;0.99635;0.011000494782067835;0.9898;0.03439570441413962
16;0.9966833333333334;0.010393860703830918;0.9884;0.03423374580348027
17;0.9971166666666667;0.008883195993614694;0.9902;0.033695467078413636
18;0.99725;0.009090255802962929;0.99;0.03352480959867971
19;0.9974166666666666;0.00830502268197015;0.9887;0.039593245584802206
